,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PRESIDIO,PHF,ALPHA,BETA,AT,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO,AVG_DUR,AVG_DUR_MAJOR_ARTERIALS,AVG_DUR_MINOR_ARTERIALS,BASE_INRIX_VOL_PRESIDIO
746,105-07767_AM,105-07767,AM,2016,4,0.0,0.348,0.6,3.5,3.0,2,2.0,0.57,5459.77011494,42.43,34.0580112045,30.0,0.806033466887,1.0041690278,4231.04944881,2289.54194456,2202.67389982,13.1183670175,0.163684210526,0.0431944444444,0.0431944444444,0.0,0.0
747,105-07768_AM,105-07768,AM,2016,1,0.0,0.348,0.6,3.5,3.0,2,2.0,0.13,5459.77011494,36.16,31.1168478261,29.0,0.215707964602,0.250668063924,3756.31119486,1469.99878,1416.19652,9.4371,0.13,0.0343055555556,0.0343055555556,0.0,0.0
748,105-08301_AM,105-08301,AM,2016,3,0.0,0.348,0.6,3.5,0.0,2,4.0,0.16,9770.11494253,16.57,8.25302543507,5.722,0.57936028968,1.16320979204,11330.3362509,2333.170885,1829.84151437,462.2562125,33.669375,7.94971354167,7.94971354167,0.0,0.0
749,105-08303_AM,105-08303,AM,2016,7,0.0,0.348,0.6,3.5,0.0,2,3.90625,0.32,9541.12787356,17.01,10.2859418458,7.68,1.12874779541,1.86662536964,9777.74293867,3445.06999437,2998.06808406,424.871295937,27.3190625,6.45033420139,6.45033420139,0.0,0.0
750,105-08311_AM,105-08311,AM,2016,6,0.0,0.348,0.6,8.5,2.0,4,1.0,0.38,1958.56019359,17.4,14.7390942029,13.0,1.31034482759,1.54690645749,1700.48613272,615.233925526,532.043053158,76.7432289474,3.24947368421,0.61521468144,0.0,0.0,0.0
751,105-08312_AM,105-08312,AM,2016,4,0.0,0.348,0.6,3.5,2.0,2,3.0,0.37,8189.65517241,31.22,14.0601343101,11.0,0.711082639334,1.57893228545,10031.6468382,3061.82433135,2754.04510865,178.104459459,9.88567567568,2.60871996997,2.60871996997,0.0,0.0
752,105-08313_AM,105-08313,AM,2016,3,0.0,0.348,0.6,8.5,1.0,4,1.0,0.15,862.068965517,16.63,11.5285294118,10.114,0.541190619363,0.780671990201,831.736128691,591.933656,562.703568,28.8786813333,0.833333333333,0.0694444444444,0.0,0.0,0.0
753,105-08314_AM,105-08314,AM,2016,8,0.0,0.348,0.6,8.5,1.0,4,1.0,0.39,1259.9469496,15.47,12.1325,11.0,1.51260504202,1.9287038945,1149.4961501,36.8054415385,33.0382330769,2.87376230769,0.396666666667,0.048311965812,0.0,0.0,0.0
754,105-08340_AM,105-08340,AM,2016,1,0.0,0.348,0.6,8.5,1.0,4,1.0,0.09,862.068965517,14.88,6.54941176471,5.0,0.362903225806,0.824501526854,941.743971403,7.93202,6.39834,10.22759,3.28,0.273333333333,0.0,0.0,0.0
755,105-08351_AM,105-08351,AM,2016,1,0.0,0.348,0.6,3.5,3.0,2,3.0,0.06,8189.65517241,40.12,33.1875570033,30.0,0.0897308075773,0.108474389954,6058.14741214,335.54608,306.54028,9.46303,0.21,0.0554166666667,0.0554166666667,0.0,0.0
756,105-08352_AM,105-08352,AM,2016,2,0.0,0.348,0.6,3.5,3.0,2,2.0,0.1754,5459.77011494,23.41,13.5561111111,9.0,0.449551473729,0.776328838983,5767.40487333,599.06531,560.22641,54.6288538883,1.55937286203,0.411501171924,0.411501171924,0.0,0.0
757,105-08366_AM,105-08366,AM,2016,3,0.0,0.348,0.6,3.5,1.0,2,4.0,0.27,10344.8275862,28.58,23.2310872027,21.0,0.566829951015,0.697341448493,7868.26348285,6081.00521,5541.71283333,394.30548,13.06,3.265,3.265,0.0,0.0
758,105-08367_AM,105-08367,AM,2016,4,0.0,0.348,0.6,3.5,2.0,2,4.0,0.36,10919.5402299,33.32,26.177643909,23.9,0.648259303721,0.82513155405,8718.09119638,4213.7606825,3787.712045,279.650505,4.7275,1.24753472222,1.24753472222,0.0,0.0
759,105-08369_AM,105-08369,AM,2016,15,0.0,0.348,0.6,3.5,3.0,2,2.26666666667,0.9,6187.7394636,25.79,15.9468188976,13.0,2.0938348197,3.38625529936,6238.05513291,1410.06786533,1241.97730733,57.8945073333,0.958666666667,0.252981481481,0.252981481481,0.0,0.0
760,105-08371_AM,105-08371,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,2.0,0.1807,5172.4137931,18.66,12.0995800525,9.132,0.581028938907,0.896064157017,5024.86867842,3137.51896517,2601.0890377,365.571965562,8.64125622579,2.16031405645,2.16031405645,0.0,0.0
761,105-08372_AM,105-08372,AM,2016,15,0.0,0.348,0.6,3.5,0.0,3,2.21951219512,0.82,4243.76226521,16.38,11.7269642857,9.57,3.00366300366,4.1954591829,3770.82717034,2239.90965598,2048.63788671,168.611316707,3.19890243902,0.59125013029,0.0,0.59125013029,0.0
762,105-08380_AM,105-08380,AM,2016,1,0.0,0.348,0.6,3.5,1.0,2,2.0,0.17,5172.4137931,32.09,14.7877093596,9.342,0.317856029916,0.68976200113,6259.86695473,2254.81177,1817.36314,388.20632,11.48,2.87,2.87,0.0,0.0
763,105-08381_AM,105-08381,AM,2016,2,0.0,0.348,0.6,3.5,0.0,2,2.0,0.13,4885.05747126,29.13,15.3634987893,9.75,0.267765190525,0.507696853885,5478.17648343,1728.96509,1428.439875,226.788795,0.0,0.0,0.0,0.0,0.0
764,105-08382_AM,105-08382,AM,2016,3,0.0,0.348,0.6,8.5,1.0,4,2.0,0.3139,4656.65542507,20.45,9.2634717608,8.0,0.92097799511,2.03314701943,5056.05493814,910.739901567,695.49028683,101.319255718,2.11719337369,0.476520267126,0.0,0.0,0.0
